 {'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京自如友家资产管理有限公司', '职位': 'PHP工程师'}
{'薪资': '30k-50k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '18k-36k', '工作经验': '1-3年', '公司名称': '北京字节跳动科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京小米科技有限责任公司', '职位': 'PHP 研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '掌阅科技股份有限公司', '职位': 'PHP研发工程师'}
{'薪资': '20k-40k', '工作经验': '5-10年', '公司名称': '北京新氧科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-20k', '工作经验': '5-10年', '公司名称': '先锋智道（北京）科技有限公司', '职位': 'php工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京颐顺太和软件科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京美好明天科技有限公司', '职位': 'PHP'}
{'薪资': '8k-15k', '工作经验': '1-3年', '公司名称': '医墨（北京）医学信息技术有限公司', '职位': 'php开发工程师'}
{'薪资': '12k-16k', '工作经验': '3-5年', '公司名称': '北京卡车之家信息技术股份有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京金山云网络技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-16k', '工作经验': '3-5年', '公司名称': '上海拓畅信息技术有限公司北京分公司', '职位': 'PHP开发工程师'}
{'薪资': '16k-32k', '工作经验': '3-5年', '公司名称': '北京自如友家资产管理有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '北京小米科技有限责任公司', '职位': 'PHP研发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '30k-50k', '工作经验': '3-5年', '公司名称': '北京字节跳动科技有限公司', '职位': 'PHP开发工程师-电商'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发'}
{'薪资': '30k-60k', '工作经验': '3-5年', '公司名称': '上海基分文化传播有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '互动峰科技(北京)有限公司', '职位': 'php开发（15k-35k/月）'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '乐惠（北京）科技有限公司', '职位': 'PHP研发'}
