 名称:烽禾影城(祈福新邨店)	连接:http://maoyan.com/cinema/2161?poi=110	地址：番禺区钟屏路钟福广场3层（祈福新村祈福医院旁）

名称:烽禾影城(科学城店)	连接:http://maoyan.com/cinema/2158?poi=142567	地址：黄埔区科学城科学大道193号高德汇购物中心5层（近创意大厦）

名称:烽禾影城(南村剑桥郡店)	连接:http://maoyan.com/cinema/9260?poi=540345	地址：番禺区雅居乐剑桥郡国际文化中心4楼（近剑桥郡小区）

名称:广东工人电影院	连接:http://maoyan.com/cinema/23610?poi=15869508	地址：越秀区南堤二马路36号

名称:广州蓓蕾剧院	连接:http://maoyan.com/cinema/73?poi=156492	地址：越秀区东风西路167号或人民北路873号（近人民北路）

名称:香凝影剧院	连接:http://maoyan.com/cinema/5968?poi=173069	地址：荔湾区芳村大道西塞坝路芳雅苑15号

名称:中影JAJ24小时咖啡影院(钟港大厦店)	连接:http://maoyan.com/cinema/23830?poi=15977746	地址：白云区钟落潭广从五路491号钟港大厦4楼

名称:沙湾3D数字电影院	连接:http://maoyan.com/cinema/22?poi=143630	地址：番禺区沙湾镇大巷涌路沙湾文化中心1楼（沁芳园对面）

名称:万达国际影城(南沙店)	连接:http://maoyan.com/cinema/14443?poi=8017551	地址：南沙区双山大道万达广场三号娱乐楼4楼

名称:万达国际影城(增城店)	连接:http://maoyan.com/cinema/9600?poi=458802	地址：增城区荔城街增城大道69号万达广场1幢娱乐楼4A-5A（3楼大歌星电梯上去）

名称:大地影院(西丽店)	连接:http://maoyan.com/cinema/8622?poi=547405	地址：番禺区市桥街西丽南路93号西丽广场4楼（西城花园东）

名称:中影南方韦邦国际影城	连接:http://maoyan.com/cinema/17040?poi=15069218	地址：番禺区钟村雄105国道雄峰城B1三楼

名称:中影JAJ24小时咖啡影院(科宝商城店)	连接:http://maoyan.com/cinema/16168?poi=10792194	地址：番禺区大石街朝阳东路186号A栋2楼

名称:大地影院(潮流汇店)	连接:http://maoyan.com/cinema/8623?poi=457212	地址：番禺区石基镇市莲路41号石岗东村段K1潮流汇6楼

